,video_name,MOS
209,Test06_Television_D08,23.61
210,Test06_Television_D09,7.23
211,Test06_Television_D10,14.77
212,Test06_Television_D11,23.8
213,Test06_Television_D12,22.48
214,Test06_Television_D13,23.7
215,Test06_Television_D14,31.73
216,Test06_Television_D15,33.46
217,Test06_Television_D16,20.54
218,Test06_Talking_head_D01,14.9
219,Test06_Talking_head_D02,57.48
220,Test06_Talking_head_D03,53.44
221,Test06_Talking_head_D04,76.79
222,Test06_Talking_head_D05,45.07
223,Test06_Talking_head_D06,61.99
224,Test06_Talking_head_D07,32.99
225,Test06_Talking_head_D08,62.56
226,Test06_Talking_head_D09,0.58
227,Test06_Talking_head_D10,23.31
228,Test06_Talking_head_D11,42.32
229,Test06_Talking_head_D12,57.39
230,Test06_Talking_head_D13,47.76
231,Test06_Talking_head_D14,58.85
232,Test06_Talking_head_D15,73.35
233,Test06_Talking_head_D16,33.02
